key,English,Arabic
you_need_to_accept_tc,You need to accept terms & conditions to continue,
we_are_on_it,We are on it,
we_are_delivering,We are on the way,
credit_cart,Credit Card,
knet,Knet,
payment_pending,Payment pending,
out_of_stock,Out of stock,
country,Country,
governorate_province_state,Governorate/State/Province,
country_missing,Please select your country,
failed_to_register,Failed to register,
specification,Specification,
width_after_packing,Width after packing,
length_after_packing,Length after packing,
height_after_packing,Height after packing,
weight_after_packing,Weight after packing,
cm,cm,
kg,kg,
