key,English,Arabic,
set_store_preference,Set the preferences of the store,اضبط تفضيلات المتجر,
store_slug,Store slug,اسم لصفحة المتجر (الانجليزية),
payment_details,Payment details,بيانات الدفع,
fill_payment_details,Fill the bank information. This information will be used to pay you.,املأ معلومات البنك، سيتم استخدام هذه المعلومات للتحويل المالي.,
bank_name,Bank name,اسم البنك,
iban,IBAN number,رقم أيبان (IBAN),
reference_number,Reference number,رقم المرجع,
add_new_item,Add new item,أضف منتج جديد,
item_details,Item details,تفاصيل المنتج,
fill_in_the_item_details_to_help_customer,Fill in the item details to help the customer to understand your item.,املأ تفاصيل العنصر لمساعدة العميل على فهم العنصر الخاص بك.,
category,Category,القائمة الرئيسية,
sub_category,Sub Category,قائمة فرعية,
item_title_english,Item title (English),عنوان المنتج (الانجليزية),
item_title_arabic,Item title (Arabic),عنوان المنتج (العربية),
item_description_english,Item description (English),تفاصيل المنتج (الانجليزية),
item_description_arabic,Item description (Arabic),تفاصيل المنتج (العربية),
is_the_item_handmade,Is the item handmade?,"هل المنتج مصنوع يدويًا؟
",
is_the_item_eco_friendly,Is the item eco friendly?,"هل المنتج صديق للبيئة؟
",
is_the_item_customizable,Is the item eco customizable?,هل المنتج قابل للتعديل؟,
is_the_item_vintage,Is the item vintage item?,هل المنتج كلاسيكي؟,
photos,Photos,الصور,
add_upto_five_image,Add up to 5 high-quality photos to showcase your item,"أضف ما يصل إلى 5 صور عالية الجودة لعرض المنتج الخاص بك
",
variants,Variants,الأصناف,
add_different_variant,Add different variants of the item,أضف بدائل مختلفة من المنتج,
variant_type,Variance Type,نوع المتغيرات,
color,Color,اللون,
size,Size,المقاس,
original_price,Original price,السعر الأصلي,
price,Price,السعر,
stock,Stock,المخزون,
add_new_variant,Add new variant,إضافة شكل جديد,
update_variant,Update variant,تحديث البديل,
tags,Tags,كلمات دلالية,
add_related_tags,Add related tags for this item,"إضافة كلمات دلالية ذات الصلة لهذا المنتج
",
done,Done,تأكيد,
pick_a_color,Pick a color,اختر لونا,
ok,OK,نعم,
cancel,Cancel,الغاء,(
invalid_credentials,Invalid credentials,بيانات الاعتماد غير صالحة,
kwd,KD,دينار كويتي,
single,Single,نوع فردي,
size_only,Size only,الحجم فقط,
color_only,Color only,اللون فقط,
size_and_color,Size & Color,الحجم واللون,
authenticate,Authenticate,المصادقة,
failed_to_authenticate,Failed to authenticate,فشل المصادقة,
logout,Logout,تسجيل خروج,
are_you_sure,Are you sure?,هل أنت متأكد؟,
first_name,First name,الاسم الأول,
last_name,Last name,اسم العائلة,
confirm_password,Confirm password,تأكيد كلمة المرور,
change_language,Change language,تغيير اللغة,
are_you_sure_change_language_to_english,Change language to English,تغيير اللغة إلى اللغة الإنجليزية,
are_you_sure_change_language_to_arabic,Change language to Arabic,تغيير اللغة إلى العربية,
description_ar,Description(Arabic),التفاصيل (العربية),
description,Description,التفاصيل,
facebook,Facebook,فيسبوك,
instagram,Instagram,انستقرام,
twitter,Twitter,تويتر,
youtube,Youtube,يوتيوب,
slug,Store Link,رابط المتجر,
upload,Upload,رفع,
save,Save,حفظ,
contact_person,Contact person,الشخص الذي يمكن الاتصال به,
civil_id,Civil ID,البطاقة المدنية,
store_image,Store image,تخزين الصورة,
documents,Documents,وثائق,
click_on_image_to_change_it,Click on image to change it,انقر على الصورة لتغييرها,
name_required,Name is required,الإسم مطلوب,
name_arabic_required,Name in arabic is required,الإسم مطلوب باللغة العربية,
desc_required,Description is required,التفاصيل مطلوبة,
desc_arabic_required,Description in arabic is required,التفاصيل مطلوبة باللغة العربية,
store_status,Store status,حالة المتجر,
email_required,Email is required,البريد الالكتروني مطلوب,
password_required,Password is required,كلمة المرور مطلوبة,
confirm_password_required,confirm password is required,تأكيد كلمة المرور,
password_confirm_password_match,password and confirm password should match,يجب مطابقة كلمة المرور وتأكيد كلمة المرور,
success,Success,نجاح,
failed,Failed,فشل,
banners,Banners,لافتات,
on_product,On product,على المنتج,
on_store,On store,على المتجر,
accepted,Accepted,مقبول,
rejected,Rejected,مرفوض,
expired,Expired,انتهت صلاحيته,
published,Published,نشرت,
draft,Draft,مسودة,
loading,loading..,تحميل..,
pending,Pending,قيد الانتظار,
graph_title,Half yearly sales analysis,تحليل المبيعات نصف سنوي,
add_banner,Add banner,أضف لافتة,
title,Title,العنوان,
start_date,Start date,تاريخ البدء,
end_date,End date,تاريخ الانتهاء,
promotion_on,Promotion on,اعلان,
iban_missing,iban number is required,رقم الأيبان مطلوب,
name_on_card_missing,Name on card is required,مطلوب الاسم على البطاقة,
bank_name_missing,Bank name is required,اسم البنك مطلوب,
civil_id_missing,Civil ID is required,البطاقة المدنية مطلوبة,
civil_id_front,Civil ID front,البطاقة المدنية من الامام,
civil_id_back,Civil ID back,البطاقة المدنية من الخلف,
bank_form,Bank form,استمارة بنكية,
promotion_type,Promotion type,نوع الاعلان,
promote_store,Promote store,اعلان المتجر,
promote_item,Promote product,اعلان المنتج,
selected_product,Selected product,منتج محدد,
select_product,Select a product,اختر المنتج,
title_missing,Title is missing,العنوان مفقود,
start_date_missing,Start date is missing,تاريخ البدء مفقود,
end_date_missing,End date is missing,تاريخ الانتهاء مفقود,
end_should_be_after_start,End date should be after start date,يجب أن يكون تاريخ الانتهاء بعد تاريخ البدء,
promotion_should_be_for_atleast,Promotion should be for at least for,يجب أن يكون الاعلان لمدة,
promotion_should_be_for_atmost,Promotion should be for at most for,يجب أن يكون الاعلان لمدة أقصاها ,
days,days,أيام,
image_missing,Image is missing,الصورة مفقودة,
active,Active,نشط,(
document_need_to_be_uploaded,Document needs to be uploaded,يجب تحميل المستند,
document_verification_in_progress,Document verification in progress,سيتم تقييم المستند,(
all,All,الجميع,
paused,Paused,توقف مؤقتا,
profile,Profile,حساب تعريفي,
select_area,Select area,حدد المنطقة,
block_missing,Block name is missing,اسم القطعة مفقود,
street_missing,street name is missing,اسم الشارع مفقود,
sub_category_optional,Sub category (Optional),القائمة الفرعية (اختياري),
category_missing,Category is missing,القائمة مفقودة,
title_ar,Title arabic,العنوان (باللغة العربية),
title_ar_missing,Title arabic missing,عنوان اللغة العربية مفقود,
desc_ar,Description arabic,التفاصيل (العربية),
desc,Description,التفاصيل,
continue_text,Continue,استمرار,
skip,Skip,تخطي,
thumbnail,Thumbnail,صورة العرض ,....
image,Image,الصورة,
add_variant,Add variant,إضافة البديل,
price_after_discount,Price after discount(Optional),السعر بعد الخصم (اختياري),
height,height,الارتفاع,
width,Width,العرض,
length,length,الطول,
weight,Weight,الوزن,
details_for_shipping,Details for shipping,تفاصيل الشحن,
small,S(Small),S (صغير),
medium,M(Medium),M (متوسط),
large,L(Large),L (كبير),
xlarge,XL(Extra large),XL (كبير جدًا),
xxlarge,XXL(Double extra large),XXL (كبير جداً جداً),
add_tag,Add tag,اضافة كلمة دلالية,
added_tags,Added tags,الكلمات الدلالية المضافة,
tags_missing,Tags are missing,الكلمات الدلالية مفقودة,
tags_sample,"Multiple tags can be added with coma(,) separation",يمكن إضافة علامات متعددة باستخدام الفاصلة,
delete,Delete,مسح,
restore,Restore,استرجاع,
edit_in_progress,Editing,التحرير,
payment,Payment,الدفع,
payment_successful,Payment successful,عملية الدفع ناجحة,
payment_failed,Payment failed,عملية الدفع خاطئة,
promotion_submitted,Promotion submitted for publishing,تم تقديم الاعلان للنشر,
order_details,Order details,تفاصيل الطلب,
customer,Customer,العميل,
billing_details,Billing details,تفاصيل الفاتورة,
products,Items,المنتجات,
status,Status,حالة,
change_status,Change status,تغيير الحالة,
new_order,New order,طلب جديد,
placed_order,Order placed,تم انشاء الطلب,
canceled,Canceled,تم الالغاء,
reject,Reject,مرفوض,
address,Address,العنوان,
pricing,Pricing,السعر,
order_code,Order code,رمز الطلب,
accept,Accept,قبول,
change_to_processing,Processing,قيد الانشاء,
dispatch,Dispatch,إرسال,
dispatched,Dispatched,أُرسلت,
review,Review,مراجعة,
phone_number,Phone number,رقم التليفون,
phone_number_missing,Phone number is missing,رقم الهاتف مفقود,
now,Now,الآن,
placed,Placed,تم,
in_warehouse,In warehouse,في المستودع,
shipped,Shipped,تم الشحن,
delivered,Delivered,تم التوصيل,
processing,Processing,قيد التنفيذ,
write_message,Write message,اكتب رسالة,
send_message,Send message,أرسل رسالة,
price_before_discount,Price before discount(Optional),السعر قبل الخصم (اختياري),
change_variance_type,Change variance type,"تغيير نوع البديل
",
change_variance_type_comment,All variance of this product will be removed.Would you like to continue?,"سيتم إزالة كل النماذج لهذا المنتج. هل ترغب في الاستمرار؟
",
please_add_atleast_one_variance,Please add at least one variance,"الرجاء إضافة نموذج واحد على الأقل
",
publishing,Publishing..,قيد النشر,
checking_for_publishing,Checking for publishing..,"جاري التحقق من النشر ..
",
calculating_publishing_charge,Calculating publishing charge..,جاري حساب الرسوم للنشر..,
fetching_your_wallet,Fetching your wallet..,التحقق من الرصيد,
executing,Executing..,تنفيذ ..,
publish_now,Publish now,نشر الآن,
waiting_for_approval,Waiting,منتظر,
